pair_key,regime,subtask,direction,site,clean_verb,corrupt_verb,corrupt_metric,patched_metric,clean_metric,effect,normalized_effect,patched_success
head|causative|object_frame|0,head,causative,bad_to_good,resid_post_layer_23,arrive,equip,-8.59375,13.96875,2.4375,22.5625,2.045325779036827,1
head|causative|object_frame|2,head,causative,bad_to_good,resid_post_layer_23,expire,implement,-8.1875,6.9375,-1.125,15.125,2.1415929203539825,1
head|causative|object_frame|3,head,causative,bad_to_good,resid_post_layer_23,descend,refuse,-2.75,6.8125,-4.0625,9.5625,-7.285714285714286,1
head|causative|object_frame|10,head,causative,bad_to_good,resid_post_layer_23,adhere,calm,-7.687499523162842,9.0,-8.5,16.6875,-20.53844948492814,1
head|causative|object_frame|11,head,causative,bad_to_good,resid_post_layer_23,occur,nurse,-6.71875,7.999999523162842,-1.375,14.71875,2.754385964912281,1
head|causative|object_frame|12,head,causative,bad_to_good,resid_post_layer_23,elaborate,obscure,-8.625,7.9375,-1.9375,16.5625,2.4766355140186915,1
head|causative|object_frame|13,head,causative,bad_to_good,resid_post_layer_23,speak,compensate,-5.1875,7.250000476837158,-2.0,12.4375,3.9019607843137254,1
head|causative|object_frame|15,head,causative,bad_to_good,resid_post_layer_23,exist,cloak,-5.125,14.6875,1.1875,19.8125,3.1386138613861387,1
head|causative|object_frame|17,head,causative,bad_to_good,resid_post_layer_23,pray,explore,-6.0625,9.0,0.4375,15.0625,2.3173076923076925,1
head|causative|object_frame|18,head,causative,bad_to_good,resid_post_layer_23,respond,exhibit,-6.124999523162842,11.28125,0.4375,17.40625,2.6523811451053545,1
head|causative|object_frame|19,head,causative,bad_to_good,resid_post_layer_23,thrive,settle,-5.0625,12.125,1.812500238418579,17.1875,2.5,1
head|causative|object_frame|21,head,causative,bad_to_good,resid_post_layer_23,disappear,lace,-8.625,12.59375,2.624999761581421,21.21875,1.886111111111111,1
head|causative|object_frame|25,head,causative,bad_to_good,resid_post_layer_23,agree,incorporate,-7.4375,8.0625,-1.125,15.5,2.4554455445544554,1
head|causative|object_frame|26,head,causative,bad_to_good,resid_post_layer_23,differ,assist,-5.8125,9.3125,-0.4375,15.125,2.813953488372093,1
head|causative|object_frame|0,head,causative,good_to_bad,resid_post_layer_23,equip,arrive,-2.4375,24.0625,8.59375,26.5,2.4022662889518416,1
head|causative|object_frame|2,head,causative,good_to_bad,resid_post_layer_23,implement,expire,1.125,19.330078125,8.1875,18.205078125,2.5777101769911503,1
head|causative|object_frame|3,head,causative,good_to_bad,resid_post_layer_23,refuse,descend,4.0625,13.84375,2.75,9.78125,-7.4523809523809526,1
head|causative|object_frame|10,head,causative,good_to_bad,resid_post_layer_23,calm,adhere,8.5,25.15625,7.687499523162842,16.65625,-20.499987969038763,1
head|causative|object_frame|11,head,causative,good_to_bad,resid_post_layer_23,nurse,occur,1.375,13.859375,6.71875,12.484375,2.3362573099415203,1
head|causative|object_frame|12,head,causative,good_to_bad,resid_post_layer_23,obscure,elaborate,1.9375,17.78125,8.625,15.84375,2.369158878504673,1
head|causative|object_frame|13,head,causative,good_to_bad,resid_post_layer_23,compensate,speak,2.0,14.5625,5.1875,12.5625,3.9411764705882355,1
head|causative|object_frame|15,head,causative,good_to_bad,resid_post_layer_23,cloak,exist,-1.1875,19.9921875,5.125,21.1796875,3.35519801980198,1
head|causative|object_frame|17,head,causative,good_to_bad,resid_post_layer_23,explore,pray,-0.4375,18.0546875,6.0625,18.4921875,2.844951923076923,1
head|causative|object_frame|18,head,causative,good_to_bad,resid_post_layer_23,exhibit,respond,-0.4375,18.24853515625,6.124999523162842,18.68603515625,2.847396040227693,1
head|causative|object_frame|19,head,causative,good_to_bad,resid_post_layer_23,settle,thrive,-1.812500238418579,15.4375,5.0625,17.25,2.5090909090909093,1
head|causative|object_frame|21,head,causative,good_to_bad,resid_post_layer_23,lace,disappear,-2.624999761581421,21.203125,8.625,23.828125,2.1180555555555554,1
head|causative|object_frame|25,head,causative,good_to_bad,resid_post_layer_23,incorporate,agree,1.125,20.2578125,7.4375,19.1328125,3.030940594059406,1
head|causative|object_frame|26,head,causative,good_to_bad,resid_post_layer_23,assist,differ,0.4375,18.871917724609375,5.8125,18.434417724609375,3.4296591115552326,1
head|inchoative|inchoative_frame|0,head,inchoative,bad_to_good,resid_post_layer_23,announce,flee,1.7500001192092896,19.87890625,6.1875,18.12890625,4.085387323943662,1
head|inchoative|inchoative_frame|1,head,inchoative,bad_to_good,resid_post_layer_23,intend,descend,-0.1875,10.1875,2.312500238418579,10.375,4.149999604225196,1
head|inchoative|inchoative_frame|2,head,inchoative,bad_to_good,resid_post_layer_23,complete,arrive,-0.6875,12.078125,5.4375,12.765625,2.0841836734693877,1
head|inchoative|inchoative_frame|3,head,inchoative,bad_to_good,resid_post_layer_23,carry,collaborate,2.5,14.671875,6.34375,12.171875,3.1666666666666665,1
head|inchoative|inchoative_frame|4,head,inchoative,bad_to_good,resid_post_layer_23,delete,appear,1.875,12.625,3.937499761581421,10.75,5.212121814626268,1
head|inchoative|inchoative_frame|5,head,inchoative,bad_to_good,resid_post_layer_23,send,zoom,-0.3125,19.7109375,7.40625,20.0234375,2.5941295546558703,1
head|inchoative|inchoative_frame|9,head,inchoative,bad_to_good,resid_post_layer_23,eliminate,react,0.6875,22.421875,6.84375,21.734375,3.530456852791878,1
head|inchoative|inchoative_frame|10,head,inchoative,bad_to_good,resid_post_layer_23,interview,emerge,-0.125,16.25439453125,4.0625,16.37939453125,3.911497201492537,1
head|inchoative|inchoative_frame|20,head,inchoative,bad_to_good,resid_post_layer_23,forbid,arise,-1.5,20.96875,5.59375,22.46875,3.1674008810572687,1
head|inchoative|inchoative_frame|25,head,inchoative,bad_to_good,resid_post_layer_23,launch,pray,-0.1875,10.5625,3.375,10.75,3.017543859649123,1
head|inchoative|inchoative_frame|33,head,inchoative,bad_to_good,resid_post_layer_23,assign,proceed,2.1875,18.99609375,6.28125,16.80859375,4.105916030534351,1
head|inchoative|inchoative_frame|37,head,inchoative,bad_to_good,resid_post_layer_23,motivate,differ,-2.000000238418579,20.8828125,5.125,22.8828125,3.2116228070175437,1
head|inchoative|inchoative_frame|40,head,inchoative,bad_to_good,resid_post_layer_23,tend,complain,-1.874999761581421,7.90625,3.1875,9.78125,1.9320987654320987,1
head|inchoative|inchoative_frame|49,head,inchoative,bad_to_good,resid_post_layer_23,assure,disagree,-3.000000238418579,19.73828125,5.625,22.73828125,2.6363224637681157,1
head|inchoative|inchoative_frame|0,head,inchoative,good_to_bad,resid_post_layer_23,flee,announce,-6.1875,8.5,-1.7500001192092896,14.6875,3.3098591549295775,1
head|inchoative|inchoative_frame|1,head,inchoative,good_to_bad,resid_post_layer_23,descend,intend,-2.312500238418579,7.999999523162842,0.1875,10.3125,4.124999606609382,1
head|inchoative|inchoative_frame|2,head,inchoative,good_to_bad,resid_post_layer_23,arrive,complete,-5.4375,7.5,0.6875,12.9375,2.1122448979591835,1
head|inchoative|inchoative_frame|3,head,inchoative,good_to_bad,resid_post_layer_23,collaborate,carry,-6.34375,6.6875,-2.5,13.03125,3.3902439024390243,1
head|inchoative|inchoative_frame|4,head,inchoative,good_to_bad,resid_post_layer_23,appear,delete,-3.937499761581421,7.5625,-1.875,11.5,5.5757582202978675,1
head|inchoative|inchoative_frame|5,head,inchoative,good_to_bad,resid_post_layer_23,zoom,send,-7.40625,11.46875,0.3125,18.875,2.445344129554656,1
head|inchoative|inchoative_frame|9,head,inchoative,good_to_bad,resid_post_layer_23,react,eliminate,-6.84375,10.75,-0.6875,17.59375,2.8578680203045685,1
head|inchoative|inchoative_frame|10,head,inchoative,good_to_bad,resid_post_layer_23,emerge,interview,-4.0625,9.125,0.125,13.1875,3.1492537313432836,1
head|inchoative|inchoative_frame|20,head,inchoative,good_to_bad,resid_post_layer_23,arise,forbid,-5.59375,15.15625,1.5,20.75,2.9251101321585904,1
head|inchoative|inchoative_frame|25,head,inchoative,good_to_bad,resid_post_layer_23,pray,launch,-3.375,7.125,0.1875,10.5,2.9473684210526314,1
head|inchoative|inchoative_frame|33,head,inchoative,good_to_bad,resid_post_layer_23,proceed,assign,-6.28125,9.0625,-2.1875,15.34375,3.7480916030534353,1
head|inchoative|inchoative_frame|37,head,inchoative,good_to_bad,resid_post_layer_23,differ,motivate,-5.125,12.625,2.000000238418579,17.75,2.491228070175439,1
head|inchoative|inchoative_frame|40,head,inchoative,good_to_bad,resid_post_layer_23,complain,tend,-3.1875,6.874999523162842,1.874999761581421,10.0625,1.9876543209876543,1
head|inchoative|inchoative_frame|49,head,inchoative,good_to_bad,resid_post_layer_23,disagree,assure,-5.625,11.8125,3.000000238418579,17.4375,2.0217391304347827,1
