regime,subtask,direction,site,site_index,n,mean_exact_effect,mean_abs_exact_effect,mean_normalized_effect,mean_corrupt_metric,mean_patched_metric,mean_clean_metric
head,transitive,bad_to_good,resid_post_layer_16,17,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_18,19,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_19,20,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_20,21,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_21,22,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,bad_to_good,resid_post_layer_22,23,19,5.325657756705033,5.325657756705033,1.0,-5.516447268034282,-0.19078951132924934,-0.19078951132924934
head,transitive,good_to_bad,resid_post_layer_16,17,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_18,19,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_19,20,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_20,21,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_21,22,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,transitive,good_to_bad,resid_post_layer_22,23,19,5.325657756705033,5.325657756705033,1.0,0.19078951132924934,5.516447268034282,5.516447268034282
head,intransitive,bad_to_good,resid_post_layer_16,17,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_18,19,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_19,20,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_20,21,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_21,22,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,bad_to_good,resid_post_layer_22,23,17,5.272058851578656,5.272058851578656,1.0,-3.231617675108068,2.0404411484213436,2.0404411484213436
head,intransitive,good_to_bad,resid_post_layer_16,17,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
head,intransitive,good_to_bad,resid_post_layer_18,19,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
head,intransitive,good_to_bad,resid_post_layer_19,20,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
head,intransitive,good_to_bad,resid_post_layer_20,21,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
head,intransitive,good_to_bad,resid_post_layer_21,22,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
head,intransitive,good_to_bad,resid_post_layer_22,23,17,5.272058851578656,5.272058851578656,1.0,-2.0404411484213436,3.231617675108068,3.231617675108068
tail,intransitive,bad_to_good,resid_post_layer_20,21,11,4.607954545454546,4.607954545454546,0.9969502866712908,-2.5795454545454546,2.028409069234675,2.03125
tail,intransitive,bad_to_good,resid_post_layer_22,23,11,4.59375,4.59375,0.9975106860352763,-2.5795454545454546,2.014204567128962,2.03125
tail,intransitive,good_to_bad,resid_post_layer_21,22,11,4.59375,4.59375,0.9924090286125355,-2.03125,2.5624999674883755,2.5795454545454546
tail,intransitive,bad_to_good,resid_post_layer_19,20,11,4.590909090909091,4.590909090909091,0.9934433293972103,-2.5795454545454546,2.0113636580380527,2.03125
tail,intransitive,bad_to_good,resid_post_layer_21,22,11,4.588068181818182,4.588068181818182,0.9946762398448793,-2.5795454545454546,2.008522727272727,2.03125
tail,intransitive,good_to_bad,resid_post_layer_20,21,11,4.588068181818182,4.588068181818182,0.9890168970386296,-2.03125,2.556818138469349,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_22,23,11,4.588068181818182,4.588068181818182,0.9921965557211458,-2.03125,2.556818203492598,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_19,20,11,4.58238638531078,4.58238638531078,0.9879354755575548,-2.03125,2.5511364286596123,2.5795454545454546
tail,intransitive,bad_to_good,resid_post_layer_16,17,11,4.582386363636363,4.582386363636363,0.9908679739358259,-2.5795454545454546,2.002840909090909,2.03125
tail,intransitive,bad_to_good,resid_post_layer_18,19,11,4.582386363636363,4.582386363636363,0.9926454314509884,-2.5795454545454546,2.002840822393244,2.03125
tail,intransitive,good_to_bad,resid_post_layer_18,19,11,4.576704545454546,4.576704545454546,0.9884822237019656,-2.03125,2.545454502105713,2.5795454545454546
tail,intransitive,good_to_bad,resid_post_layer_16,17,11,4.5710227272727275,4.5710227272727275,0.983239433124957,-2.03125,2.53977277062156,2.5795454545454546
xtail,intransitive,bad_to_good,resid_post_layer_21,22,9,3.2152777512868247,3.256944417953491,1.0007170774361545,-1.7361110581292047,1.47916669315762,1.472222195731269
xtail,intransitive,bad_to_good,resid_post_layer_22,23,9,3.229166587193807,3.256944417953491,0.9660442359597814,-1.7361110581292047,1.4930555290646024,1.472222195731269
xtail,intransitive,good_to_bad,resid_post_layer_20,21,9,3.2222222487131753,3.2500000264909534,0.9646751087463442,-1.472222195731269,1.7500000264909532,1.7361110581292047
xtail,intransitive,bad_to_good,resid_post_layer_18,19,9,3.222222169240316,3.25,0.9622789232475947,-1.7361110581292047,1.4861111111111112,1.472222195731269
xtail,intransitive,good_to_bad,resid_post_layer_21,22,9,3.194444417953491,3.2499999735090466,1.0355355355355356,-1.472222195731269,1.7222222222222223,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_22,23,9,3.194444417953491,3.2499999735090466,1.0355355355355356,-1.472222195731269,1.7222222222222223,1.7361110581292047
xtail,intransitive,good_to_bad,resid_post_layer_18,19,9,3.201388862397936,3.2430555290646024,0.9815596223003631,-1.472222195731269,1.7291666401757135,1.7361110581292047
xtail,intransitive,bad_to_good,resid_post_layer_19,20,9,3.222222169240316,3.236111111111111,0.9246806808869478,-1.7361110581292047,1.4861111243565877,1.472222195731269
xtail,intransitive,good_to_bad,resid_post_layer_19,20,9,3.1944444444444446,3.236111111111111,0.9800581298170591,-1.472222195731269,1.7222222222222223,1.7361110581292047
xtail,intransitive,bad_to_good,resid_post_layer_20,21,9,3.222222195731269,3.2361110316382513,0.92468038620663,-1.7361110581292047,1.4861111111111112,1.472222195731269
tail,transitive,bad_to_good,resid_post_layer_18,19,17,2.661764649783864,3.227941120372099,1.0126361405393083,-4.430147030774285,-1.7683823950150435,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_19,20,17,2.650735238019158,3.224264649783864,1.0107820657345958,-4.430147030774285,-1.779411792755127,-1.772058837554034
xtail,intransitive,good_to_bad,resid_post_layer_16,17,9,3.2083333333333335,3.2222222222222223,0.9051214908587565,-1.472222195731269,1.7361111376020644,1.7361110581292047
tail,transitive,bad_to_good,resid_post_layer_22,23,17,2.6580882352941178,3.2169117647058822,1.0031807150926246,-4.430147030774285,-1.7720588095047896,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_20,21,17,2.6360293977400837,3.21691175068126,1.0023724125033457,-4.430147030774285,-1.7941176330342012,-1.772058837554034
tail,transitive,bad_to_good,resid_post_layer_21,22,17,2.65073525204378,3.2169117226320156,0.9994426952992616,-4.430147030774285,-1.7794117787305046,-1.772058837554034
tail,transitive,good_to_bad,resid_post_layer_18,19,17,2.6636028991026035,3.215073487337898,0.9993441150071536,1.772058837554034,4.43566175068126,4.430147030774285
tail,transitive,good_to_bad,resid_post_layer_19,20,17,2.6617646918577305,3.213235280093025,0.9957392545578765,1.772058837554034,4.43382350136252,4.430147030774285
tail,transitive,bad_to_good,resid_post_layer_16,17,17,2.636029411764706,3.2095588235294117,1.013199867550688,-4.430147030774285,-1.794117619009579,-1.772058837554034
tail,transitive,good_to_bad,resid_post_layer_22,23,17,2.665441120372099,3.2095587674309227,0.9882352881571832,1.772058837554034,4.437499957926133,4.430147030774285
xtail,intransitive,bad_to_good,resid_post_layer_16,17,9,3.1944444709353976,3.20833330684238,0.9165855023320221,-1.7361110581292047,1.458333412806193,1.472222195731269
tail,transitive,good_to_bad,resid_post_layer_20,21,17,2.65625,3.207720588235294,0.9945063176171451,1.772058837554034,4.42830880950479,4.430147030774285
tail,transitive,good_to_bad,resid_post_layer_21,22,17,2.647058795480167,3.1985293837154614,0.983757162981615,1.772058837554034,4.419117619009579,4.430147030774285
tail,transitive,good_to_bad,resid_post_layer_16,17,17,2.636029425789328,3.194852955201093,1.0024522973212713,1.772058837554034,4.40808824931874,4.430147030774285
xtail,transitive,bad_to_good,resid_post_layer_21,22,12,2.4218749602635703,3.0468749602635703,1.030190993025541,-4.447916626930237,-2.0260416865348816,-2.0234374701976776
xtail,transitive,good_to_bad,resid_post_layer_21,22,12,2.4401041666666665,3.0390625,1.0211175370537005,2.0234374701976776,4.463541666666667,4.447916626930237
xtail,transitive,good_to_bad,resid_post_layer_19,20,12,2.445312519868215,3.0338541865348816,1.008987485799172,2.0234374701976776,4.46875,4.447916626930237
xtail,transitive,good_to_bad,resid_post_layer_22,23,12,2.4244791666666665,3.0338541666666665,1.0,2.0234374701976776,4.4479166467984514,4.447916626930237
xtail,transitive,bad_to_good,resid_post_layer_22,23,12,2.414062480131785,3.033854146798452,0.9953707392603697,-4.447916626930237,-2.0338542064030967,-2.0234374701976776
xtail,transitive,good_to_bad,resid_post_layer_18,19,12,2.4401041666666665,3.0286458333333335,0.9840923378934753,2.0234374701976776,4.4635416467984514,4.447916626930237
xtail,transitive,good_to_bad,resid_post_layer_20,21,12,2.450520873069763,3.0286458333333335,1.0067857103902345,2.0234374701976776,4.473958373069763,4.447916626930237
xtail,transitive,bad_to_good,resid_post_layer_18,19,12,2.421875019868215,3.026041646798452,1.0045961213483874,-4.447916626930237,-2.026041626930237,-2.0234374701976776
xtail,transitive,bad_to_good,resid_post_layer_16,17,12,2.4322916865348816,3.015625019868215,0.9257416913871359,-4.447916626930237,-2.015624980131785,-2.0234374701976776
xtail,transitive,bad_to_good,resid_post_layer_19,20,12,2.4114583333333335,3.015625,0.9690343674209823,-4.447916626930237,-2.0364583134651184,-2.0234374701976776
xtail,transitive,bad_to_good,resid_post_layer_20,21,12,2.4036458134651184,3.0130207737286887,0.9660373906886633,-4.447916626930237,-2.044270853201548,-2.0234374701976776
xtail,transitive,good_to_bad,resid_post_layer_16,17,12,2.471354146798452,3.007812519868215,0.8488763094607704,2.0234374701976776,4.4947916467984514,4.447916626930237
